BatteryPower,Acceleration,TopSpeed,Range,Efficiency,FastChargeSpeed,NumberofSeats,Drive,PriceinSwitzerland
57,9.6,234,335,196,373,3,1,41762.5791666667
51,6,141,326,217,819,4,2,44492.923125
38,5.6,129,322,205,180,5,3,41673.85
91,6.5,210,26,207,760,1,2,63010.98
2,7.5,244,404,174,492,2,3,34109.4066666667
70,8.9,169,341,173,375,3,1,42323.8291666667
38,6.3,202,221,191,413,4,1,43367.123125
67,9.2,120,402,196,600,3,2,42965.0575
71,6.4,283,323,157,763,4,1,65559.455
72,9.7,250,337,140,287,2,2,55860.3475
73,3.2,207,496,230,540,5,3,94302.525
72,1.4,214,74,222,234,4,3,102932.2375
62,8.3,241,304,170,456,3,3,39149.0716369048
87,10.4,231,400,183,995,4,3,53923.34
65,2.9,154,436,181,141,4,2,91754.335
115,12.5,120,454,131,562,4,3,45211.0995833333
116,5.9,140,260,227,713,5,1,61292.6875
121,6.8,248,447,185,423,2,1,72438.935
47,3.4,232,324,231,787,1,1,67373.2425
36,0.6,137,347,143,341,5,1,82604.0988095238
15,6.5,191,290,170,678,1,1,35159.9408333333
68,3.5,170,733,174,679,3,3,67724.1275
44,7.7,143,218,198,719,1,2,36965.2122916667
64,9.2,229,300,170,661,3,2,39372.6880952381
84,6.5,174,403,214,428,4,2,60942.2175
105,2.5,185,299,196,151,2,3,107866.3675
50,5.9,188,468,211,268,5,1,44082.65
108,6.5,131,218,224,205,3,2,65184.7225
62,5.9,133,431,265,311,4,3,47791.2425
63,3.4,130,686,203,884,2,3,64655.368125
23,7.3,205,557,183,230,3,3,35045.8625
80,8.9,222,331,231,705,4,1,54459.635
79,7.9,214,787,160,930,2,1,48453.76125
93,5.5,295,628,202,728,3,3,74928.425
73,12,174,290,206,621,1,2,48111.5125
47,9,179,392,195,575,5,1,39424.628125
89,6.8,157,290,195,486,3,3,57025.3875
59,7.7,191,120,132,766,1,3,35051.8147619048
39,1.9,149,326,211,790,2,3,95507.7625
71,9.9,156,303,215,707,3,3,48254.4875
59,4.4,116,254,201,597,2,1,59634.130625
108,7.7,283,644,149,559,3,3,62102.9766666667
42,11.5,79,298,222,311,4,2,33799.7875
102,8.3,145,397,208,503,2,3,48852.4025
64,4.2,212,216,185,536,2,1,60996.57
27,6.3,195,419,186,365,1,3,41084.465
62,9.3,206,313,150,783,1,3,37206.1526785714
49,8.3,167,453,199,722,3,2,40663.475
89,7,189,422,186,715,1,2,49165.4325
66,6.3,213,527,148,655,2,2,58388.1766666667
55,10.9,159,517,185,352,3,2,36558.0416666667
78,3.1,146,349,169,476,1,1,92452.0691666667
77,6.9,160,504,154,567,4,1,43596.3
128,4.8,243,596,166,311,3,3,72528.4641666667
16,4.5,172,225,161,780,1,2,51400.308452381
55,5.4,208,443,189,454,3,3,46261.3275
129,3.2,213,310,255,363,5,1,108846.225
103,9.4,215,486,181,923,1,3,53306.555
34,10.5,270,196,207,1070,3,2,46027.7675
55,12.1,210,348,192,91,2,1,40303.25
31,1.4,151,476,224,1010,2,3,95842.1625
33,5.3,231,338,217,492,3,3,45783.2275
72,6.9,155,480,171,304,3,3,45179.83
86,4.2,184,606,170,1089,2,3,73946.925
116,4,121,413,229,579,4,3,81988.955
86,3.1,193,404,192,873,2,2,106161.9125
52,4.2,94,517,202,709,1,1,60817.948125
105,11.4,171,408,182,231,5,2,50045.1625
85,7.1,200,145,210,426,3,2,55510.345
29,3.5,210,251,201,752,5,1,57106.68
59,7.6,166,625,216,337,5,2,40083.1841666667
55,6.7,219,138,226,808,5,3,44142.25
102,4.1,198,364,228,846,5,3,82807.2225
56,4.2,201,241,208,684,3,1,62438.3375
63,6,143,326,143,585,1,2,41613.5049702381
84,16.7,223,240,189,532,2,2,55055.8975
77,4.7,257,101,164,717,5,3,60998.175
80,7.2,232,341,204,801,3,3,53640.1075
102,10.1,182,213,203,407,4,3,51495.34
92,8.8,253,603,177,725,3,3,62935.52
106,11,191,141,208,163,1,1,58737.885
95,8.7,190,307,231,228,1,1,58410.105
77,6.5,224,513,143,108,4,1,61760.7808333333
116,5,158,252,229,884,1,2,66408.605
28,12.5,223,177,224,710,1,2,35762.425
53,13.2,113,347,206,181,5,3,40623.2375
28,11.5,158,416,174,69,4,3,28320.575
143,7.3,138,217,193,409,4,1,51915.535
47,2.3,162,227,215,4,1,2,96022.475
65,5.4,224,420,219,1005,5,3,55645.17
93,4.6,129,212,225,545,5,3,75613.0775
45,7.9,145,224,142,820,4,2,33129.1227380952
27,7.7,214,509,151,147,2,2,28613.1208333333
10,5.2,174,247,237,39,4,1,44337.1475
93,12,102,172,242,450,2,1,55735.435
9,5.7,207,411,226,395,5,3,40732.425
53,4.4,152,307,202,319,5,2,56460.2408333333
57,8,157,331,148,311,5,3,30637.4312797619
96,4.3,194,279,217,206,5,3,78376.8375
102,10.9,163,386,174,604,5,3,45968.5
38,9.3,167,97,184,696,5,3,37162.65
93,5.6,198,215,172,271,1,2,60579.2075
60,6.5,90,365,210,652,2,2,43894.273125
78,7.7,133,310,167,335,2,2,44959.9354166667
70,10.4,231,421,206,515,1,1,53474.01
103,6.6,243,360,189,442,2,3,67032.385
50,9.4,133,226,215,113,3,2,38121.6125
87,5.9,170,539,144,684,3,1,58540.3566666667
96,3.4,207,290,200,633,1,3,82251.1075
43,13.1,145,221,235,428,3,3,45352.2275
100,8.2,157,572,225,573,2,3,49209.0225
19,8.4,133,293,165,453,5,3,26368.603125
29,3.8,161,398,175,163,3,1,50589.4275
47,4.5,167,324,225,745,2,2,62857.625
61,9.7,98,360,235,752,2,1,39770.5475
27,5.1,252,109,189,647,2,1,52760.205
77,9.4,144,350,198,386,1,1,45597.7825
57,3.8,128,315,181,216,2,2,54650.3025
18,10.2,159,438,202,121,4,2,33911.05
46,7,132,223,198,937,3,1,37151.8029166667
26,7.3,173,130,187,246,1,2,33325.9
87,8.2,81,111,171,463,5,3,45924.24375
120,5.8,194,490,185,581,3,2,62121.495
69,3.5,183,419,173,447,1,1,66598.7825
25,5.9,140,351,187,419,3,1,38072.365625
47,6,244,411,155,490,4,2,43988.485
57,12.3,170,350,239,487,3,1,39864.3933333333
28,10.8,152,221,188,107,4,3,32790.65
84,8.1,190,371,141,938,1,2,47751.8420833333
84,7.7,96,446,164,1146,3,3,44202.8295833333
47,7.6,309,255,166,638,4,1,44851.3983630952
93,4.6,150,526,161,483,3,3,72742.0558333334
41,8.4,170,400,130,389,5,1,29597.8889583333
27,8.1,137,385,154,52,1,1,25153.3072916667
70,10.2,247,453,186,486,1,1,58357.9325
99,10.1,171,335,135,549,2,1,44491.51
70,6.4,247,481,175,854,2,1,66476.0975
116,8,117,122,180,517,2,2,48042.94
120,13.9,199,613,166,603,3,1,52285.7083333333
40,4.1,160,218,200,534,4,1,59992.5325
108,7,140,558,192,840,3,2,49390.4275
57,6.3,120,331,185,444,1,1,42147.965625
85,5.9,258,542,206,657,4,3,74066.7275
105,9.1,134,309,233,175,1,1,57926.74
20,6.3,271,416,227,389,1,3,53551.23
89,11.3,240,291,175,851,1,1,56705.965
49,3.9,199,345,194,551,2,2,60232.4025
24,11.6,160,579,248,824,5,2,37407.045
38,4.3,144,510,195,58,3,3,60646.18
90,10.1,214,192,131,748,5,3,49235.025
51,9.6,157,467,132,537,3,3,33765.1160714286
35,10.4,128,419,167,361,4,3,25905.225
36,8.7,171,353,154,860,5,1,30214.7525
92,5.8,148,522,265,460,3,3,63569.3325
102,7.7,161,382,187,422,5,2,47319.4125
69,7.5,216,478,192,243,1,2,51572.33
84,3.4,165,229,214,736,2,3,83796.33
5,11.7,228,372,130,195,4,1,26951.3625
68,6.3,180,239,235,43,3,3,60119.42
90,6.2,223,441,166,624,5,2,57389.8216666667
25,5.4,166,203,152,695,3,1,35094.2958333333
92,4.8,182,322,195,1449,5,1,57286.265
111,8.5,110,289,182,796,1,3,49084.22
60,7.7,244,396,182,739,5,1,42535.0575
42,3.5,173,339,175,534,2,2,58329.795952381
89,8.3,185,471,160,681,3,2,45335.1645833333
38,7.1,178,401,151,141,4,3,32300.6566666667
22,8.4,188,518,191,479,1,3,37181.45
75,4.2,134,266,230,545,1,3,73479.72
136,5.5,148,409,138,254,5,1,58743.9583333333
79,12,144,372,200,413,5,1,47810.2875
61,8.3,220,133,215,1105,1,3,42109.2125
70,7.3,203,491,207,539,1,1,52024.015
46,6.4,202,364,163,730,2,1,40742.8658630952
75,5.6,226,387,220,261,3,3,63799.99
103,8.1,226,521,205,1085,1,1,58924.965
33,9.2,162,349,168,478,4,3,29555.1541666667
56,5.4,127,111,203,653,3,1,43194.6272916667
84,3.9,169,453,190,674,5,3,69761.46
105,6.3,219,396,195,707,3,2,63384.8425
24,10.1,160,388,277,283,4,1,38585.245
37,7.3,182,278,230,294,4,3,36980.03125
68,9.5,128,178,200,123,3,1,48733.345
72,9.6,144,254,196,515,4,1,45909.0325
57,5,148,90,168,416,2,2,37919.9258035714
35,7.1,127,244,217,831,1,2,34822.6372916667
87,4.8,204,338,181,166,4,1,64055.445
48,6.1,235,527,181,640,2,3,47610.99
72,7.3,227,158,197,1058,4,1,53446.66
64,4.8,199,322,159,1190,5,3,43093.661547619
70,5,169,509,197,386,3,1,59733.2675
54,8.6,226,303,237,465,5,3,42292.16
99,9.6,213,317,142,1162,2,3,51678.635
72,10.1,134,357,176,467,3,3,42375.1
59,5,112,455,198,389,4,3,45006.615625
90,6.4,189,465,159,3,2,1,57873.9908333333
121,6,162,427,172,406,3,1,59203.9625
94,8,136,414,221,777,3,1,48607.8125
63,7.9,177,247,187,652,5,2,39504.4125
115,4.2,184,232,221,824,5,3,80725.255
91,6.3,164,391,195,652,2,2,56486.135
94,8.9,236,499,154,762,4,3,53268.87
77,7,296,379,206,544,5,3,58026.42
60,5.4,260,512,189,126,2,2,54961.785
79,6.5,201,195,193,263,1,3,60184.3825
82,7.9,99,390,226,407,2,1,49318.115
93,3.2,248,349,155,800,4,2,111124.9775
69,6.8,99,347,171,694,3,3,53089.6916666667
53,6.3,172,450,212,50,4,1,45631.235
47,11.3,219,311,229,275,1,2,37342.925
118,9.1,220,140,245,476,4,2,58270.7675
33,0.7,138,384,223,604,4,2,96223.75
61,5.7,253,455,193,238,2,1,56294.6
87,8.5,140,314,240,869,1,3,51514.0525
96,7.7,257,353,179,75,3,1,63521.0775
90,6.4,211,281,181,772,1,1,60885.3
107,9.5,202,417,254,783,3,1,55444.99
49,7.8,175,334,173,670,4,2,38349.283452381
59,5.5,142,417,197,95,3,3,44947.21
55,2.7,178,344,250,712,3,1,99215.175
76,11.1,153,318,195,12,1,1,50340.32
2,12.1,216,302,211,596,2,2,34372.175
93,9.1,152,269,226,725,5,1,50840.35
91,10.4,240,267,205,491,4,1,58385.965
97,2.8,104,609,141,545,4,1,100343.86
42,11.3,185,341,173,557,1,3,36907.975
74,3.4,247,173,161,204,1,3,74342.2325
58,9.6,191,479,160,276,2,2,30185.0364583333
117,4.9,193,301,203,436,1,2,66059.825
73,9.3,192,402,176,772,5,2,43993.8625
89,4.6,168,193,162,672,4,3,71427.265
60,7.2,215,418,153,150,4,3,33673.6275
78,0.5,168,314,214,869,3,3,102057.225
49,8.8,165,400,171,546,2,2,36039.0541666667
45,7.1,212,224,215,718,5,2,39469.6425
62,10.9,180,134,187,896,4,2,37817.575
100,3.6,162,506,106,73,2,3,76099.7825
70,5.8,190,283,153,153,4,1,55692.8658333333
82,7.7,131,294,209,386,3,1,51944.6025
42,7.8,200,349,199,242,4,1,41309.2775
95,3.1,168,385,169,110,3,2,102436.2525
30,6.4,214,355,174,4,3,2,35675.375
54,5.7,70,568,189,543,2,3,43967.455625
68,9.7,176,331,227,570,5,1,46433.2875
41,8,122,341,197,416,1,1,37351.04375
76,7.9,161,580,144,376,1,3,42324.2916666667
46,2.3,108,331,157,671,1,1,86203.62625
83,13.4,114,296,227,558,1,1,53194.285
54,9.3,135,635,173,1015,5,3,36129.2208333333
84,4.9,221,403,205,480,5,3,61502.9975
98,8.1,232,327,217,525,2,2,56947.4475
36,3,140,334,171,707,2,2,90153.9025
67,1.1,211,625,190,42,1,3,94211.0425
94,8.5,262,450,172,580,3,1,61091.3475
37,4.1,156,458,189,857,1,1,57975.275
69,10.7,123,273,168,393,5,2,41901.0822916667
46,4,179,395,191,602,4,1,59803.135
54,1.3,117,487,201,636,5,1,88219.7575
69,6.9,163,246,235,317,1,2,51927.8
94,5.1,208,436,148,618,3,1,62945.2466666667
94,10.7,175,267,175,217,4,1,52036.54125
97,5.9,150,436,247,224,5,2,60792.175
54,7.7,143,343,238,339,4,3,40255.4016666667
63,2.7,211,484,174,257,1,3,89811.0475
109,4,175,331,157,937,4,1,75406.7425
103,7.8,205,340,182,494,4,1,52750.505
57,10.4,204,284,158,916,3,2,35018.0526785714
17,5.4,103,339,164,674,5,2,31403.0799107143
15,7.2,124,270,220,470,5,2,32747.228125
36,7.6,165,366,178,303,5,1,30431.6758333333
75,4.3,196,429,185,673,1,1,69410.9025
66,5.5,129,255,222,807,3,1,58666.8825
91,4,167,383,230,439,4,2,78614.2075
63,3.1,118,360,177,1234,3,3,91593.115
58,6,198,440,114,384,2,3,39930.5079761905
44,13.3,140,88,233,388,3,3,41243.1341666667
108,6.7,252,410,161,874,1,1,71545.7458333333
48,6.9,210,135,166,2,4,2,32512.1483333333
42,4.2,151,475,182,752,1,1,56995.733125
43,4.6,141,524,183,1059,1,2,57086.785625
30,8.3,216,338,190,678,2,3,37798.4375
63,8.4,206,180,161,707,2,3,37104.2412202381
93,6.7,118,398,208,742,2,2,58647.0075
75,13.8,158,288,167,751,3,3,44410.3083333333
112,3.7,243,515,214,349,2,1,85532.74
54,7.8,234,235,212,446,1,1,41474.38
94,8.3,177,449,193,857,1,3,47160.9425
65,10.9,180,331,179,313,5,3,41934.95
17,8.2,221,283,198,694,2,1,35981.8
87,7.2,201,342,206,685,3,3,52671.585
102,12.8,174,402,183,315,3,3,51649.205
23,5.5,91,448,194,637,5,2,37582.090625
7,6.4,149,213,161,558,3,3,32315.9590773809
38,12.7,102,395,210,311,4,3,38208.13
4,3.5,106,350,219,693,1,3,61960.955625
76,0.7,230,380,158,461,2,1,92793.69
65,7.4,153,258,190,173,3,2,46094.3125
37,5.7,143,166,202,625,5,1,38459.3197916667
14,3.6,140,237,180,296,1,2,51318.79
75,5,161,323,207,523,5,1,55180.4625
72,7.4,82,223,224,565,1,2,47317.3875
60,9.2,167,318,194,376,2,2,40078.4791666667
81,7.8,247,318,152,802,5,3,59130.47875
62,7.5,170,193,207,518,4,3,40512.9708333333
76,7.7,201,677,187,721,2,1,49577.1775
89,3.7,163,392,164,322,3,2,69496.41
57,10.1,148,333,155,370,5,3,28799.911875
87,4.1,172,421,203,498,3,1,75249.915
70,3.4,247,436,225,431,5,2,79697.3425
57,8.2,204,391,152,31,2,1,31631.9389583333
86,6.2,208,148,178,533,1,3,58714.295
19,4.8,172,416,201,550,2,1,42678.2875
82,7.3,223,293,176,715,2,1,51957.8225
82,4.2,231,330,117,695,5,3,69124.2075
69,1.2,183,353,171,559,1,1,94387.94
51,2.8,174,616,217,314,1,2,94654.1625
37,7.1,199,500,197,87,5,1,39021.5125
169,7.8,212,319,169,296,1,1,54366.3758333333
94,3.9,239,338,163,424,4,2,75743.6875
73,9.3,230,473,194,567,3,3,51931.405
88,5.2,148,239,228,345,4,1,65069.38
49,7.2,146,405,198,864,2,3,39885.540625
49,7.9,206,418,237,550,2,3,43365.06
110,1.5,107,490,190,485,1,3,103424.16
82,5.6,135,306,216,658,2,2,61186.3725
96,11.8,193,350,172,531,2,2,48939.755
70,6.4,94,105,210,516,2,1,58476.045
84,5.3,235,475,158,202,4,2,63956.8725
61,3.2,174,563,203,106,5,1,85315.6825
93,7.6,234,349,167,882,3,1,53031.7633333333
64,6.7,134,305,177,858,5,1,40797.6489583333
45,4.6,131,166,152,321,1,3,53137.9236011905
93,4.5,215,295,162,757,3,3,74200.6375
45,10.2,137,516,182,217,1,1,34716.909375
94,5.4,209,317,195,341,1,2,62782.4175
54,5.8,208,196,147,771,3,1,42163.7691666667
98,4.9,184,398,185,644,1,2,61919.22
59,4.4,196,348,180,259,2,3,57523.4183333333
47,2,295,321,148,411,1,2,97497.6425
61,9.4,212,457,183,594,2,3,40866.7875
89,5.6,185,347,240,468,5,2,59725.5625
22,13.6,222,264,138,617,3,1,29462.730625
65,5.4,139,399,142,658,4,3,50890.8495833333
57,5.9,165,212,133,860,5,3,37925.6701785714
8,6.9,181,501,250,954,5,2,39074.295
73,9.2,203,424,163,437,3,3,44323.3825
61,4.5,180,226,165,539,1,3,56567.4591666667
93,10.9,160,205,215,490,5,2,52074.825
124,4.5,223,480,209,507,3,2,83361.8975
70,10,159,370,167,1095,2,3,41936.7158333333
63,5.2,164,490,185,366,5,1,44230.2125
16,0.6,144,225,210,916,5,2,93922.5125
121,5.8,174,368,214,367,2,2,64607.31
110,8.2,121,448,161,904,1,1,45490.4375
23,5.8,178,457,207,447,1,3,42427.7975
103,6,164,154,214,857,3,3,63076.9675
36,0.8,172,235,206,821,3,2,93267.19
40,10.5,181,364,198,573,2,1,37049.865625
48,4,201,746,193,194,4,3,62713.81
35,6.8,188,432,177,479,2,3,37653.9316666667
89,4.8,212,475,136,522,5,2,59183.4391666667
67,12.9,190,285,184,700,2,2,49089.645
51,10.1,166,395,178,586,1,1,37566.325
65,3.2,177,269,204,1224,2,2,93306.5975
53,6.6,134,274,176,176,3,3,36931.984375
68,6,185,219,146,402,1,2,53674.465
57,5.6,240,397,217,774,4,3,48705.195
101,5.1,226,374,138,511,5,3,64008.3791666667
27,9,224,357,219,494,5,1,37473.8125
85,6.7,151,443,218,121,5,3,58400.225
72,15.7,157,481,165,964,4,2,42548.68875
86,7.8,180,348,219,299,3,2,53785.3475
73,8.5,211,342,189,90,2,3,51199.4075
33,6.2,189,500,137,122,3,2,35467.9525
68,7.5,198,300,194,521,3,3,49868.815
62,10.2,141,471,205,399,2,2,37679.425
91,13.1,219,388,156,667,2,2,50024.4975
44,7.9,184,416,173,16,4,3,34319.55625
44,3.4,211,549,204,520,3,3,64461.785
59,4.5,183,452,191,359,1,2,59644.5141666667
20,6.6,183,389,126,332,1,1,31632.8508928571
109,8.3,215,108,206,393,5,3,56012.995
78,7.6,219,235,180,326,4,1,51375.74
102,10.9,162,175,181,749,2,1,49747.83
14,6.1,178,101,204,664,4,1,40350.12
55,4.9,263,346,197,159,5,3,53509.8325
76,3.2,176,416,180,455,5,2,86446.3375
79,3.1,153,445,159,567,5,2,85695.1625
31,8,193,302,205,76,3,3,37604.9375
54,15.7,147,449,150,670,4,1,33381.756875
31,2.9,231,508,190,314,2,2,91093.1925
79,8,204,417,131,473,4,1,46631.6120833333
89,6.9,280,323,207,669,2,1,67450.875
78,6.5,193,493,227,650,5,1,57836.0125
37,3.8,184,238,213,757,2,2,60016.9575
50,7.1,198,412,198,375,2,2,42403.9758333333
73,7.3,200,477,207,395,3,1,51017.5025
32,10.8,142,608,192,505,1,1,33578.5125
15,11.4,152,312,189,304,4,3,31127.7625
99,7.2,261,442,207,579,4,3,65101.0425
58,9.5,146,725,151,512,4,3,33353.3520833333
49,10,243,550,172,711,3,3,40482.085
94,6.3,180,403,164,456,4,2,57175.5329166667
115,9.9,226,284,161,197,3,2,55355.58375
83,6.1,159,264,161,546,2,3,56058.08
118,6.1,166,388,197,577,3,3,58654.0275
109,7.3,134,273,240,144,1,2,57448.565
93,5.5,177,211,234,549,4,3,62620.7325
28,6.2,105,270,222,287,5,2,37893.3125
37,9.7,173,471,149,234,3,3,27000.515625
90,5.6,169,69,197,797,1,1,58993.475
82,4.6,231,397,165,431,5,2,67976.62
104,7.3,271,497,154,131,5,1,61482.785
33,4.4,203,325,168,935,2,3,54669.6559523809
58,8.2,70,211,192,591,1,2,37117.6197916667
59,4.7,199,414,226,789,3,1,49507.5025
39,9.8,139,229,203,264,3,2,34535.65
105,3,236,59,144,199,1,3,106346.84
78,5.4,295,430,211,359,2,1,70548.6625
98,7.3,214,109,212,840,2,2,55001.36
75,7.7,209,396,213,711,1,2,50446.1825
128,2,185,644,140,419,1,1,101374.11
23,4.6,234,339,183,1378,1,3,56839.1425
90,2.8,163,346,239,516,1,2,112986.825
29,8.1,174,384,207,622,1,2,36027.3875
36,6.6,140,341,124,535,3,1,33383.6822916667
43,10,142,206,198,424,3,3,34729.0291666667
11,3.1,159,286,165,1145,4,1,87720.3775
65,6.6,131,515,213,457,1,1,55498.86
79,8.7,170,251,159,499,3,2,44825.515
57,7.9,94,197,223,454,1,3,37537.2947916667
66,8,243,242,179,507,2,1,51620.14
77,3.4,162,321,185,422,3,1,68726.4475
50,3.1,149,233,235,488,4,3,97390.7625
45,9.2,180,340,156,571,4,2,34619.446875
32,10.5,128,186,191,632,2,2,32488.0375
34,2.4,111,418,185,846,4,1,90932.76
70,7.5,143,539,202,94,2,2,47782.8625
125,5.4,195,636,199,583,1,3,64466.7825
101,3.4,68,466,200,215,3,3,80544.925
95,6.8,129,280,226,241,3,1,63279.7425
35,6.9,142,218,230,592,1,2,35063.0572916667
40,5,177,230,145,19,1,2,39785.82625
91,4.7,132,482,200,406,1,3,63208.1825
39,7.4,180,317,152,184,3,1,31916.80625
96,1.5,172,391,165,752,2,2,103824.765
43,9.7,209,223,143,576,2,1,35136.290625
81,3.9,206,389,155,1099,3,3,68779.5475
